CLUB,PLAYERS,NICKNAME,AGENTS,PROFIT/LOSS,RAKE, DEAL,RAKEBACK,ADJUSTMENT,AGENT SETTLEMENT,DATE
FIVE CARDS,678578,GameOverMan,EMoney,2691.23,403.26,0.73,292.36,0.00,2983.59,25/12/22
FIVE CARDS,678580,BishopL,EMoney,-816.73,416.49,0.73,301.95,0.00,-514.77,25/12/22
FIVE CARDS,693837,ScarletWitch,Ferrranito,121.96,47.99,0.73,34.80,0.00,156.76,25/12/22
KOBERGS,1997281,magnusboss,Ferrranito,0.00,0.00,0.65,0.00,0.00,0.00,25/12/22
KOBERGS,1994065,Marinette,Ferrranito,184.60,17.40,0.65,11.31,-29.39,166.52,25/12/22
KOBERGS,1993052,adrienblack,Ferrranito,0.00,0.00,0.65,0.00,0.00,0.00,25/12/22
KOBERGS,1927289,Ferrranito,Ferrranito,0.00,0.00,0.65,0.00,0.00,0.00,25/12/22
LEFTY2.0,1996002,KeyAyDee,Ferrranito,0.00,0.00,0.70,0.00,0.00,0.00,25/12/22
LEFTY2.0,1929312,shameless22,Ferrranito,849.43,99.32,0.70,69.52,-137.84,781.11,25/12/22
LEGENDSOFLEFTY,1927327,RL9vamos,Ferrranito,1886.07,116.78,0.60,70.07,-195.61,1760.52,25/12/22
LEGENDSOFLEFTY,1927289,Ferrranito,Ferrranito,0.00,0.00,0.60,0.00,0.00,0.00,25/12/22
LEGENDSOFLEFTY,1957959,Ilikesweets,Ferrranito,-2340.09,600.37,0.60,360.22,197.99,-1781.88,25/12/22
LEGENDSOFLEFTY,1992932,malucia,Ferrranito,6303.94,50.09,0.60,30.05,-633.40,5700.59,25/12/22
LEGENDSOFLEFTY,1993052,adrienblack,Ferrranito,1493.95,38.88,0.60,23.33,-151.73,1365.55,25/12/22
LEGENDSOFLEFTY,1994065,Marinette,Ferrranito,-23.21,3.71,0.60,2.23,2.10,-18.89,25/12/22
LEGENDSOFLEFTY,1994152,abbyhutcher,Ferrranito,-678.00,47.25,0.60,28.35,64.97,-584.69,25/12/22
LEGENDSOFLEFTY,1996002,KeyAyDee,Ferrranito,-263.33,89.60,0.60,53.76,20.96,-188.61,25/12/22
LEGENDSOFLEFTY,1997249,BekimBalaj,Ferrranito,3546.65,346.35,0.60,207.81,-375.45,3379.01,25/12/22
LEGENDSOFLEFTY,1997259,koreanz0mbie,Ferrranito,1315.51,394.08,0.60,236.45,-155.20,1396.76,25/12/22
LEGENDSOFLEFTY,1997266,bomboombom,Ferrranito,1795.47,419.66,0.60,251.80,-204.73,1842.54,25/12/22
LEGENDSOFLEFTY,1997274,caruzo112,Ferrranito,-604.87,502.39,0.60,301.43,30.34,-273.09,25/12/22
LEGENDSOFLEFTY,1997279,kevinalone,Ferrranito,-1645.06,427.25,0.60,256.35,138.87,-1249.84,25/12/22
LEGENDSOFLEFTY,1998978,Poker1998978,Ferrranito,13.77,4.59,0.60,2.75,-1.65,14.87,25/12/22
LEGENDSOFLEFTY,1998996,BabyFace777,Ferrranito,-97.94,30.16,0.60,18.10,7.98,-71.86,25/12/22
LEGENDSOFLEFTY,1999005,Gt_river_,Ferrranito,32.99,25.61,0.60,15.37,-4.84,43.52,25/12/22
LEGENDSOFLEFTY,1999491,Raagna,Ferrranito,207.96,22.87,0.60,13.72,-22.17,199.51,25/12/22
LEGENDSOFLEFTY,1999493,wazzza,Ferrranito,86.99,21.82,0.60,13.09,-10.01,90.07,25/12/22
RUNNINGHOT,1994065,Marinette,Ferrranito,0.00,0.00,0.65,0.00,0.00,0.00,25/12/22
RUNNINGHOT,1993052,adrienblack,Ferrranito,0.00,0.00,0.65,0.00,0.00,0.00,25/12/22
RUNNINGHOT,1944175,uglymonkey,Ferrranito,0.00,0.00,0.65,0.00,0.00,0.00,25/12/22
RUNNINGHOT,1927289,Ferrranito,Ferrranito,0.00,0.00,0.65,0.00,0.00,0.00,25/12/22
THEDENETIAN,1996002,KeyAyDee,Ferrranito,0.55,0.04,0.60,0.02,0.00,0.57,25/12/22
THEDENETIAN,1998978,Poker1998978,Ferrranito,37.18,4.82,0.60,2.89,0.00,40.07,25/12/22
THEDENETIAN,1998996,BabyFace777,Ferrranito,0.00,0.00,0.60,0.00,0.00,0.00,25/12/22
THEDENETIAN,1999005,Gt_river_,Ferrranito,0.00,0.00,0.60,0.00,0.00,0.00,25/12/22
THEDENETIAN,1927339,alwayslucky5,Ferrranito,-197.79,185.74,0.60,111.44,0.00,-86.35,25/12/22
THEDENETIAN,1927289,Ferrranito,Ferrranito,480.99,144.99,0.60,86.99,0.00,567.98,25/12/22
THEDENETIAN,1957959,Ilikesweets,Ferrranito,-137.90,32.76,0.60,19.66,0.00,-118.24,25/12/22
TURKEYTIME,null,DrVanNostrad,Ferranito,2434.88,1296.47,0.73,939.94,-101.24,3273.57,25/12/22
